date,precipitation
3/1/2014,120.2
2/1/2014,119.1
1/1/2014,63.8
12/1/2013,254
11/1/2013,220.1
10/1/2013,193.4
9/1/2013,75.5
8/1/2013,63.3
7/1/2013,189.3
6/1/2013,63.3
5/1/2013,110.2
4/1/2013,59.9
3/1/2013,219.7
2/1/2013,77.9
1/1/2013,82.8
12/1/2012,155.4
11/1/2012,92.1
10/1/2012,196.6
9/1/2012,54.1
8/1/2012,214.9
7/1/2012,30.7
6/1/2012,218.5
5/1/2012,268
4/1/2012,34.9
3/1/2012,130.4
2/1/2012,99.8
1/1/2012,98.4
12/1/2011,92
11/1/2011,178.3
10/1/2011,235.1
9/1/2011,7.8
8/1/2011,160
7/1/2011,59
6/1/2011,3.7
5/1/2011,51.9
4/1/2011,167
3/1/2011,64.1
2/1/2011,37.9
1/1/2011,85.5
12/1/2010,125.9
11/1/2010,298.8
10/1/2010,180.8
9/1/2010,90.3
8/1/2010,75
7/1/2010,78.3
6/1/2010,65
5/1/2010,32.5
4/1/2010,195.7
3/1/2010,217.1
2/1/2010,43.9
1/1/2010,77
12/1/2009,110.5
11/1/2009,26.4
10/1/2009,80.7
9/1/2009,35
8/1/2009,57.4
7/1/2009,67.1
6/1/2009,178.1
5/1/2009,92.9
4/1/2009,73.6
3/1/2009,94.9
2/1/2009,247
1/1/2009,97.9
12/1/2008,85.9
11/1/2008,174.8
10/1/2008,273
9/1/2008,138.9
8/1/2008,94.8
7/1/2008,55.4
6/1/2008,68.5
5/1/2008,83.8
4/1/2008,67.8
3/1/2008,122.7
2/1/2008,80.3
1/1/2008,126
12/1/2007,187.6
11/1/2007,156
10/1/2007,109.9
9/1/2007,340.4
8/1/2007,65.2
7/1/2007,45.7
6/1/2007,120.7
5/1/2007,101.6
4/1/2007,65
3/1/2007,66
2/1/2007,33
1/1/2007,110.6
12/1/2006,139.4
11/1/2006,78.1
10/1/2006,153
9/1/2006,113.4
8/1/2006,131.4
7/1/2006,104.3
6/1/2006,33.6
5/1/2006,61.9
4/1/2006,258.4
3/1/2006,121.3
2/1/2006,57.7
1/1/2006,141.7
12/1/2005,411.6
11/1/2005,151.6
10/1/2005,128.8
9/1/2005,29.6
8/1/2005,203.7
7/1/2005,140.5
6/1/2005,17.1
5/1/2005,31.1
4/1/2005,65.1
3/1/2005,186.2
2/1/2005,108.2
1/1/2005,35.7
12/1/2004,91.9
11/1/2004,136.2
10/1/2004,107.2
9/1/2004,117.3
8/1/2004,99.4
7/1/2004,236
6/1/2004,41
5/1/2004,102.6
4/1/2004,46
3/1/2004,184.5
2/1/2004,102.3
1/1/2004,341.1
12/1/2003,112.7
11/1/2003,199.7
10/1/2003,84.4
9/1/2003,52.4
8/1/2003,127.1
7/1/2003,52.6
6/1/2003,133.9
5/1/2003,91.2
4/1/2003,107.9
3/1/2003,224.6
2/1/2003,120.8
1/1/2003,223
12/1/2002,104.8
11/1/2002,200.4
10/1/2002,131.2
9/1/2002,241.8
8/1/2002,191.2
7/1/2002,113.9
6/1/2002,3
5/1/2002,329.1
4/1/2002,109.5
3/1/2002,102.6
2/1/2002,163.6
1/1/2002,161.1
12/1/2001,238.8
11/1/2001,141.5
10/1/2001,50.8
9/1/2001,84.7
8/1/2001,44
7/1/2001,164.4
6/1/2001,40.2
5/1/2001,119.2
4/1/2001,44.2
3/1/2001,162.4
2/1/2001,90.2
1/1/2001,176.7
12/1/2000,238.1
11/1/2000,78.8
10/1/2000,101.9
9/1/2000,120.4
8/1/2000,145.6
7/1/2000,61
6/1/2000,51.7
5/1/2000,121.5
4/1/2000,53.7
3/1/2000,114.9
2/1/2000,96.8
1/1/2000,203.6
12/1/1999,143.3
11/1/1999,168.2
10/1/1999,102.9
9/1/1999,22.3
8/1/1999,107.7
7/1/1999,151.2
6/1/1999,56.9
5/1/1999,122.5
4/1/1999,92
3/1/1999,151.1
2/1/1999,231.9
1/1/1999,97.5
12/1/1998,220.2
11/1/1998,162
10/1/1998,52
9/1/1998,137.3
8/1/1998,219
7/1/1998,71.6
6/1/1998,41.4
5/1/1998,40
4/1/1998,76.7
3/1/1998,66
2/1/1998,168.5
1/1/1998,97.2
12/1/1997,124.6
11/1/1997,84.3
10/1/1997,168.2
9/1/1997,68.9
8/1/1997,124.3
7/1/1997,64
6/1/1997,251.2
5/1/1997,19.3
4/1/1997,138.8
3/1/1997,254.6
2/1/1997,68
1/1/1997,110
